,rand_layer,pearson,ssim,spearman,action
947,3,0.811037793471477,0.9100097769908186,0.8996763986711954,
948,4,0.5467436227498066,0.8869663238790614,0.6075571849003979,
949,5,0.27622576942061505,0.6712508823240315,0.31737717144736854,
950,1,0.9820293428691438,0.9997018710375281,0.9988864037588776,
951,2,0.9419398495658078,0.9896629185890582,0.9942106911769215,
952,3,0.8225264504143928,0.9521523581744582,0.8943691700346025,
953,4,0.5635225963093133,0.8930859185806223,0.6004826865328671,
954,5,0.2747195965008238,0.6849777532282685,0.30493669518958605,
955,1,0.9840501597923305,0.9994654481573165,0.9991050476695645,
956,2,0.9405737137842265,0.9860968256241763,0.9951529421382884,
957,3,0.8073961839678574,0.9187603068185143,0.8901998332960175,
958,4,0.5527111833280649,0.8817855581981658,0.5919039904423837,
959,5,0.2634767154362553,0.6761743550195963,0.31451340851369003,
960,1,0.9833253559523208,0.9993594412736055,0.998972391573694,
961,2,0.9474661271717084,0.9842019773184397,0.9943121533303789,
962,3,0.8126965356547378,0.9224030012785452,0.8738900700294908,
963,4,0.5362757356392389,0.8779262470409877,0.5863996825205057,
964,5,0.2967178253383392,0.6658547140941584,0.2930178103587807,
965,1,0.9881365218970544,0.9994823009222198,0.9989696565811469,
966,2,0.9476283507800396,0.989926121764549,0.9952897522881566,
967,3,0.8142792831185002,0.9388709057794706,0.9001945782322828,
968,4,0.5416487547257895,0.8856178897700226,0.6171982188750641,
969,5,0.29632575711334175,0.6667828334493504,0.3275736973240532,
970,1,0.9824558182720359,0.9993855350653885,0.9987832859186032,
971,2,0.9437645130277437,0.9886203637358411,0.9952141138030971,
972,3,0.8299234782695315,0.9421416444394409,0.8941624302458943,
973,4,0.5851420289451973,0.8880173863223422,0.6105827749482722,
974,5,0.3055854734977313,0.6652280470098554,0.32321881250054313,
975,1,0.9819163975702607,0.9995574130979576,0.9989767241942895,
976,2,0.9430105301427613,0.9858138575506271,0.9951535101475483,
977,3,0.8206077116323384,0.9136102788421498,0.9060950624011164,
978,4,0.5739728521402387,0.8882886094924539,0.572082238307045,
979,5,0.31535293559364586,0.6682824166452244,0.329428596686511,
980,1,0.9829450280993023,0.9996135928868812,0.9987001387642436,
981,2,0.9309393207539265,0.9859356794661928,0.9944206776191473,
982,3,0.7984186073131465,0.9158585570412686,0.8869279079107072,
983,4,0.5803925986702703,0.889839361597449,0.5781228694755061,
984,5,0.3150364055881872,0.6693452633575319,0.3209768178275028,
985,1,0.9832504634092234,0.9995735826605036,0.9989508042394947,
986,2,0.9322483897215165,0.9863015859553236,0.995150807627458,
987,3,0.7953064852301758,0.9159952201363482,0.8898244282212945,
988,4,0.590043221137528,0.8935328495319012,0.6148405940045225,
989,5,0.2957270315779675,0.6659394860347321,0.32933853629212323,
990,1,0.9846436459284768,0.9994588959015532,0.9985786081044162,
991,2,0.9298645227135748,0.992985559630217,0.9948834107242471,
992,3,0.8058036542110467,0.9584189221171692,0.8905879080755438,
993,4,0.6092395619275981,0.8912000142859878,0.6140830879463555,
994,5,0.27519548723191334,0.6680509953724607,0.32138962695344137,
995,1,0.9892797456327403,0.9995683264505446,0.9989782911442975,
996,2,0.9148400588686538,0.981493356303887,0.9947547343361606,
997,3,0.8046566888429123,0.9275931058765222,0.902980682321236,
998,4,0.5677772018197271,0.8886164555771322,0.5825016868734344,
999,5,0.3082153301603904,0.666011769268892,0.3133517651117727,
1000,1,0.9889718615737362,0.999719125520557,0.9996968968355074,
1001,2,0.931825546451452,0.9810675911231358,0.9947611449014787,
1002,3,0.828720443325571,0.9293077944256029,0.8931786290579045,
1003,4,0.5981783708081614,0.8896848447637213,0.5863934878744604,
1004,5,0.2795410422757128,0.6641470023844307,0.30773787690259186,
1005,1,0.990045044822889,0.999655001754212,0.9996825881790953,
1006,2,0.9288561928770236,0.9827076938985787,0.994655917253646,
1007,3,0.8025584546957474,0.9073498826503126,0.8859805662802426,
1008,4,0.5469846059943635,0.8824984589613422,0.5969993202655364,
1009,5,0.30388344502316045,0.6668044148102527,0.30849640543356577,
1010,1,0.9886951130774007,0.999790249790007,0.9997359609986117,
1011,2,0.9458951419806911,0.9829259397416361,0.9955448039046995,
1012,3,0.8184363448965052,0.9423820596423866,0.8962192136558286,
1013,4,0.5407338751445542,0.8789787992260458,0.6116223834738402,
1014,5,0.32119027145137935,0.6700233101696893,0.33083046585991294,
1015,1,0.9917121596770899,0.9996942495581234,0.9997297208916157,
1016,2,0.9319829318577169,0.984970506401875,0.9947762826915145,
1017,3,0.7951454087322719,0.9100429654540718,0.8984100893112791,
1018,4,0.580662610666407,0.8879280172184881,0.6200053358399988,
1019,5,0.3319086066883753,0.6671604562306297,0.3333450046542878,
1020,1,0.9887211159368128,0.9997257673693074,0.999710209030462,
1021,2,0.9376521558639831,0.9845549574926369,0.9948754312267201,
1022,3,0.7997878210831091,0.9163708822858356,0.8916893984971309,
1023,4,0.5737183926745084,0.8860017895580092,0.5920999641283593,
1024,5,0.34261511064604366,0.6721949298388232,0.3053254765693992,
1025,1,0.9916588791748264,0.9997240339659084,0.9996665177239858,
