,state,q_values,importance
108,1097,"[ 0.2178157  -1.9590927  -1.4329362  -0.85692614  0.41939047  0.9035025
  0.11276397  0.86031127 -1.3658284 ]",0.043191230000000025
109,1098,"[ 0.17489529 -1.9337527  -1.4306784  -0.82847816  0.40078825  0.92142504
  0.1247371   0.833953   -1.3389533 ]",0.08747203999999997
110,1099,"[ 0.16610318 -1.881173   -1.4251937  -0.84483784  0.37251407  0.9028994
  0.21877696  0.7773794  -1.3294497 ]",0.12551999999999996
111,11,"[ 0.05594055  0.06869816 -0.5728594   0.03509118  0.0490003   0.09807725
 -0.00506981  0.06535552  0.04669085]",0.02937909000000001
112,110,"[ 1.4424707  -2.7592828  -2.5238621  -2.1170313   0.03448514  1.550935
  0.43907753 -1.0296006  -2.281458  ]",0.10846429999999985
113,1100,"[ 0.18530369 -2.0808613  -1.5533466  -0.9728398   0.4344911   0.9456289
  0.19382916  0.83269423 -1.4836056 ]",0.11293467000000001
114,1101,"[ 0.29501903 -2.3858302  -1.7180688  -1.1551075   0.71752596  0.9238995
  0.2051032   1.0271785  -1.7288895 ]",0.10327900000000001
115,1102,"[ 0.3382443  -2.3189723  -1.6121278  -1.0770104   0.76442426  0.8626446
  0.34447464  1.0088257  -1.6230929 ]",0.14618110000000006
116,1103,"[ 0.34346718 -2.3161113  -1.5841508  -1.0611291   0.6720385   0.84552723
  0.27016026  0.93831605 -1.6027099 ]",0.09278882
117,1104,"[ 0.39443597 -2.4495358  -1.6503556  -1.0926116   0.76772577  0.83943737
  0.33786303  1.0009474  -1.6716756 ]",0.16151003000000008
118,1105,"[ 0.3831153  -2.350065   -1.5591478  -1.0061874   0.6954821   0.8273381
  0.24859282  0.96705085 -1.5741326 ]",0.13971275000000005
119,1106,"[ 0.3517333  -2.1492345  -1.4134095  -0.95587873  0.6556686   0.739527
  0.30374876  0.8800735  -1.436446  ]",0.1405464999999999
120,1107,"[ 0.41183168 -2.169165   -1.4852302  -1.0357728   0.74454004  0.6209819
  0.47686416  0.9126393  -1.5425862 ]",0.16809926000000008
121,1108,"[ 0.45017797 -2.3518457  -1.6838064  -1.2289879   0.76146007  0.7006222
  0.46537578  0.9548751  -1.7719691 ]",0.19341502999999993
122,1109,"[ 0.44270998 -2.4258099  -1.7335253  -1.2886217   0.6984361   0.8165191
  0.3624442   0.94518816 -1.8143015 ]",0.12866906
123,111,"[ 1.5203781e+00 -2.7895644e+00 -2.6173012e+00 -2.1675940e+00
  4.1386299e-04  1.6016539e+00  3.2975096e-01 -1.1381665e+00
 -2.2346160e+00]",0.08127580000000001
